image_name,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle
frame_0000 (2).jpg,57.32241134485523,48.271727232542,141.28024760664806,133.39892744299905
frame_0000.jpg,155.24470645026753,158.23586143181214,140.78652158895073,145.32723935617074
frame_0001 (2).jpg,57.403478294417745,49.20497451652378,140.09187679263826,132.01024821099966
frame_0001.jpg,164.14134163411651,159.18851010602478,134.94735045595476,144.2377920447217
frame_0002 (2).jpg,59.5025119576803,48.81327364735154,141.14248660842537,133.44749649625066
frame_0002.jpg,168.5444063319685,160.18208435359992,132.64251449506057,144.0808940309698
frame_0003 (2).jpg,58.528771255724905,52.3979007924427,140.36994763309323,134.37311405325013
frame_0003.jpg,167.83919880260927,163.37400683902706,132.55780225510233,142.55773256988712
frame_0004 (2).jpg,55.7918100785542,52.64532721498394,141.61344708911824,136.90356517430388
frame_0004.jpg,170.16095594061306,162.55524860238464,130.13875706847256,142.54502371479387
frame_0005 (2).jpg,53.78192354162673,53.19046310477544,141.8228282475323,138.8686889757311
frame_0005.jpg,166.60962768364942,161.2082869892541,131.28296298667829,143.18684126559782
frame_0006 (2).jpg,49.839764208065105,54.22951838423858,143.85271452111493,140.84179018020788
frame_0006.jpg,169.70421595796972,161.31541422764906,129.29076426454333,142.62426185250825
frame_0007 (2).jpg,53.57859806608036,53.53196677960025,146.38720931930035,144.29400138520523
frame_0007.jpg,168.85273051850348,161.2437299629746,129.44943288377155,143.38433218282654
frame_0008 (2).jpg,53.761698034776046,53.91369106388456,150.1284408681989,147.54673518691405
frame_0008.jpg,167.01171333588343,160.20642416135985,131.0016412744206,143.20635676282777
frame_0009 (2).jpg,60.118902442830944,56.12938079494993,151.40218094785968,150.14571002659457
frame_0009.jpg,167.41895418800652,159.34509444125226,130.38723245053907,143.80431966803465
frame_0010 (2).jpg,61.40000891749573,60.82683327103405,154.82517045685023,152.82213823026356
frame_0010.jpg,170.1148037245061,159.0369202109965,129.74105402338571,143.92823106397103
frame_0011 (2).jpg,58.502534041633254,66.04494224211284,158.85900768287084,158.56182338483097
frame_0011.jpg,167.17743664582068,161.4342633434955,129.5815616284814,141.60382173723738
frame_0012 (2).jpg,61.032786862583315,65.8367612556135,161.67638590146498,163.30408860781017
frame_0012.jpg,168.72493779120904,162.38694941849658,129.21951103517657,141.8172360165647
frame_0013 (2).jpg,63.13978443960126,69.0691815517423,164.9270473385605,169.3415015181042
frame_0013.jpg,164.82489228552177,156.45344053303796,132.69559721412685,144.3641329916367
frame_0014 (2).jpg,67.75655036869826,67.28075406150975,167.47133304750662,172.93788161599704
frame_0014.jpg,165.42837430513757,161.377430067708,131.79241079625805,142.7994945259862
frame_0015 (2).jpg,69.26460640300704,73.52590763414452,173.52012675943453,176.612789082468
frame_0015.jpg,164.87065019312334,161.76825142703922,133.74889689303836,142.50586505818018
frame_0016 (2).jpg,73.73610334947536,76.74303151807707,177.34844734817582,179.9399322359549
frame_0016.jpg,162.3393469337568,160.77015761820422,135.79337426360004,145.22184885128286
frame_0017 (2).jpg,79.2896164856459,83.38862660765624,179.28125744268667,176.3528764091046
frame_0017.jpg,165.7677871453079,163.2536784200547,132.54925713008777,140.99187075164312
frame_0018 (2).jpg,82.1935798433722,81.97688295721007,176.7499312618338,175.0293327936549
frame_0018.jpg,165.76242868832958,160.30657843411683,133.76098401318382,140.8917913186932
frame_0019 (2).jpg,88.24628573051103,86.47677414751539,174.25110717722004,171.16233803751788
